name,kcal,carbs,carbs_sugar_part,protein,fat,fat_saturated,fiber
Flatbread,220,,4.4,,2.6,0.3,0
Chipotle South West Sauce,100,0,0,0,0,0,0
Tuna Sub (with Lite Mayonnaise),360,,7.3,,11.6,1.8,
Couscous roasted vegetables,136,19.3,4.9,3.2,4.1,0.8,4.3
Vine ripened tomato paste (M&S),430,6,0,2.6,42.8,0,0
Pomodori Secchi,208,8.2,7.5,3.9,15.8,1.8,0
California Roll,283,42,0,10,8,0,6
Shrimp Tempura Roll,564,71,,22,23,0,5
Red Bean Burger,206,22,1.5,8,8,0.5,7
Black Bean Burger,183,23,3,8,4.5,0.5,9
BOL Mexican Sweet Potato Chilli,92,13.9,4.5,2.7,1.6,0.3,5.3
Gelatine,343,0,0,84.2,0.1,0,0
Durum Wheat Couscous Salad (Starbucks),119,18,3.1,4,3,1.7,2.2
Käsespätzle,293,56,0,31,40,0,0
Apfelstrudel,274,41.1,25,3.3,11.2,2,2.2
Vanilleglace,201,23.6,21.2,3.5,11,6.8,0.7
Lindt Himbeerschoggi,522,51,49,5.2,31,18,0
Ben & Jerry's - Cookie Dough,270,30,25,4,15,9,0
Extrême Cornet Vanille,148,22.8,16.8,1.9,5.4,1.7,0.4
Roast Chicken (Sainsburys),192,1.5,0,25.3,9.3,2.4,0.4
Beets Feta Veggie Pot (M&S),130,8.9,8.2,4.4,7.5,2.3,4.7
Crispy Duck,250,8.8,,18.5,15.5,3.2,0
Backhefe,83,1.1,0.1,16.7,1.2,0,6.9
Kokosnussriegel,489,59.8,49.8,3.2,27.6,26,7
Shawarma,800,100,,20,40,0,0
Chicken Edamame Protein Pot (M&S),147,3.5,1.6,14.2,7.5,1.2,4.5
Nutritional Yeast,344,36.9,12.4,51,4,0.7,22
Essiggurken,30,8,7,0.6,0.5,0,0.8
Honig,304,82,82,0.3,0,0,0
Oh! Yoghurt Greek Style mini - Himbeer-Choco,107,14,13,8,2,1.2,0.5
Scone,362,53.8,,7.2,14.6,,1.9
French Fries,312,41,0.3,3.4,15,2.3,3.8
